DISCOUNT_PRICE,LIST_PRICE,POWER,BRAND,COMPANY,LINK
28865,33959,4520,MIDEA,FRAVEGA,https://shopping.fravega.com/p/split-midea-4520-frigorias-frio-solo-10011767
40699,None,4520,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-frio-4520-fg-5260-w/c1b110b3cd
33999,None,4610,COVENTRY,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-coventry-inverter-friocalor-4610-f/96132c6c6d
45999,57499,5100,MIDEA,FRAVEGA,https://shopping.fravega.com/p/split-midea-inverter-5100-frigorias-frio-calor-10011793
28999,None,5246,COVENTRY,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-coventry-friocalor-5246-fg-6155-w/e8d52db0d4
29999,43559,5300,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-friocalor-5300-fg-6170-w/4de047df12
37025,43559,5300,MIDEA,FRAVEGA,https://shopping.fravega.com/p/split-midea-5300-frigorias-frio-calor-10011770
27999,39999,5400,HISENSE,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-frio-calor-hisense-his65wco-5400f-6300w-20570
33999,None,5400,MIDEA,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-midea-frio-5400-fg-6290-w/d0eacccc9f
34599,40699,5400,MIDEA,FRAVEGA,https://shopping.fravega.com/p/split-midea-5400-frigorias-frio-solo-10011768
44999,47170,5400,BGH,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-bgh-friocalor-inverter-5400fg-6350/f7a4c1cf4d
44999,54999,5400,BGH,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-inverter-frio-calor-bgh-bsih55cp-5400f-6350w-20518
29999,31899,5461,PHILCO,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-philco-friocalor-5461-fg-6350-w/1641eb6536
28999,39999,5500,ELECTRA,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-split-frio-calor-electra-trend-trdo62-5500f-6200w-20469
37999,49999,5500,ELECTRA,FRAVEGA,https://shopping.fravega.com/p/aire-acondicionado-inverter-split-frio-calor-electra-trend-etrdi64tc-5500f-6400w-20485
45749,60999,5500,SURREY,FRAVEGA,https://shopping.fravega.com/p/split-inverter-surrey-5500-frigorias-frio-calor-10011782
47774,63699,5500,CARRIER,FRAVEGA,https://shopping.fravega.com/p/split-inverter-carrier-5500-frigorias-frio-calor-10011765
54999,63699,5500,CARRIER,GARBARINO,https://www.garbarino.com/producto/aire-acondicionado-split-inverter-friocalor-carrier-5500-f/59193d7c1a
54999,63699,5500,CARRIER,GARBARINO,https://www.garbarino.com/producto/aire-inverter-split-carrier-friocalor-smart-5500-fg-6400-w/70a4888916
67999,67999,8000,MIDEA,FRAVEGA,https://shopping.fravega.com/p/split-midea-8000-frigorias-frio-calor-10011792
