FRAVEGA,list_price,discount_price
Heladera No Frost Electrolux DF3000P 270Lt,37.799,25.999
Cava de Vinos Electrolux ERW125XAMB para 12 Botellas,11.499,9.799
Heladera con Freezer No Frost 521L Inox Patrick SBSPK521I,92.343,69.999
Heladera No Frost Whirlpool WRM45AK 400Lt,48.299,37.999
Heladera Cíclica Patrick HPK151M11S 394Lt,30.999,26.599
Heladera Cíclica Gafa HGF387AFB Blanca 375Lts,33.499,23.999
Heladera Ciclica KOH.I.NOOR KGA 4094-7 Acero Inoxidable 367Lt,37.299,33.599
Heladera Ciclica KOH-I-NOOR KGS 4094/7 Blanca 367Lt,35.276,29.999
Heladera Ciclica Patrick HPK135M01 277Lt,24.999,21.499
Heladera Cíclica Patrick HPK141M00S 364Lt,26.999,22.999
Heladera Ciclica Koh.I.Noo KGS 4094/7 Blanca 367Lt,35.276,30.999
Cava de Vinos Electrolux ERW085XAMB para 8 Botellas,10.199,8.499
Heladera No Frost Philco PHSB570XA 570LT,82.499,60.999
Heladera Ciclica Koh.I.Noor KGB 4094/7 Negra 367Lt,36.264,32.999
Cava de Vinos Doble Temperatura Electrolux Acd29 29 Botellas,35.499,28.499
Heladera Bajo Mesada Whirlpool WRA12A 120Lt,17.999,14.999
Heladera No Frost Whirlpool WRM54AK 426Lt,51.399,38.999
Freezer Philco PHFP300B 295LT,24.999,17.499
Heladera No Frost Midea RF-T16SAR1 460Lt,42.499,35.299
Heladera Inverter No Frost Electrolux IB53X Inox 454lt,78.999,55.999
Heladera Cíclica Gafa HGF367AFB Blanca 334Lts,29.499,23.999
Heladera No Frost Inverter LG GC-F559BLDZ 441Lt,68.199,None
Heladera Ciclica 277 L Metálica Patrick HPK135M01,26.979,25.499
Heladera No Frost Electrolux Df42 382 Litros Blanca,49.599,31.999
Heladera Cíclica Gafa HGF387AFP Plata 375Lts,34.299,28.199
Heladera No Frost Electrolux DF3900B 345Lt,42.299,29.999
Heladera No Frost Siam HSI-FC320BT 320Lt,42.999,34.899
Heladera No Frost Inverter Samsung RT32K5530WW 321Lt,38.499,33.999
Heladera Cíclica Patrick HPK141M00B 364Lt,24.999,21.999
Cava para Cerveza 100 Litros Electrolux Ercq10t5iqb,39.999,29.999
Freezer Vertical Electrolux EFUP315YAMG 240 Litros Gris,41.399,None
Freezer Vertical Electrolux EFUP315YAMW 240 Litros Blanco,40.399,30.399
Heladera 1 Temperatura Ciclica 290 L Blanca Patrick HPK292B01,21.214,16.999
Heladera No Frost Electrolux Dwa51 441 Litros Blanca,63.499,35.999
Heladera Side by Side No Frost Whirlpool WRO80K2 541Lt,86.499,69.999
Freezer Whirlpool WHB53D1 536Lt,38.799,31.999
Heladera No Frost Whirlpool WRM45AB 400Lt,45.999,36.499
Heladera Cíclica Gafa HGF377AFB Blanca 327Lts,30.899,23.999
HELADERA 2 FRIOS NEBA A318,20.999,17.999
Heladera Ciclica Columbia HTF 2334H 317LT,22.599,19.999
Heladera No Frost Siam HSI-NT30XD 404Lt,39.999,34.999
Heladera No Frost GE Appliances RGS1951BGRX0 542Lt,57.999,49.999
Heladera No Frost Inverter LG GW-F439BLFZ 349Lt,58.699,48.999
Heladera No Frost Bosch KGN49AW22 440Lt,79.999,None
WRA09C1,20.299,16.999
Heladera No Frost Electrolux Tf51 433 Litros,55.699,34.999
Heladera Cíclica Gafa HGF367AFP Plata 334Lts,29.499,26.999
Heladera Ciclica Philco PHCC340B 335L,33.299,26.499
Heladera No Frost Whirlpool WRO80K2 541Lt,86.499,68.999
Heladera No Frost Bosch KAG90AI20 354LT,169.999,None
Heladera No Frost Bosch KGN49AI22 440Lt,81.999,None
Freezer Whirlpool WHA31D1 311Lt,28.699,23.499
Freezer Horizontal 420 L Blanca Patrick FHP420B,30.376,27.299
WRA09R2,20.299,16.999
WRA09B1,20.299,16.999
